"","ville_principale","Code","Libellé","loyer_m2","logements_vacants","med_revenu","jeunes","densite_pop","nouveaux_menages","beneficiaires_rsa","metropole","si_paris","temps_tgv_paris"
"243","Lyon","69116","Limonest","15.6","11",34510,"8.6","456.9","16.5","29.7","0","0",115
"244","Lyon","69117","Lissieu","13.6","5.1",33180,"6.6","559.3","11.7","25.7","0","0",115
"245","Lyon","69069","Craponne","13.9","5.6",27380,"6.9","2587.61","10.7","42.4","0","0",115
"246","Lyon","69127","Marcy-l'Étoile","12.8","4.6",29680,"9.1","674.81","12.1","25.9","0","0",115
"247","Lyon","69142","La Mulatière","13.5","11.9",22750,"7.9","3663.89","11.2","105.2","0","0",115
"248","Lyon","69143","Neuville-sur-Saône","14","9.3",23150,"7.4","1403.82","16.4","88","0","0",115
"249","Lyon","69149","Oullins-Pierre-Bénite","N/A - résultat non disponible","7.2",23260,"10.3","4227.87","13.4","44.4","0","0",115
"250","Lyon","69153","Poleymieux-au-Mont-d'Or","16.4","5",35970,"15.3","226.29","8.2","5","0","0",115
"251","Lyon","69163","Quincieux","12.3","5.5",26670,"6.5","200.51","8.8","34.1","0","0",115
"252","Lyon","69168","Rochetaillée-sur-Saône","12.4","7.2",29240,"6","1186.92","10.6","76.4","0","0",115
"253","Lyon","69191","Saint-Cyr-au-Mont-d'Or","17.2","9.9",40340,"5.9","808.22","12.2","54.5","0","0",115
"254","Lyon","69194","Saint-Didier-au-Mont-d'Or","17.2","4.3",42270,"6","875.3","8.8","27.3","0","0",115
"255","Lyon","69199","Saint-Fons","13.2","6",16880,"9","3173.77","9.9","208.3","0","0",115
"256","Lyon","69202","Sainte-Foy-lès-Lyon","15.1","5.4",28780,"6.6","3214.41","9.5","56.5","0","0",115
"257","Lyon","69204","Saint-Genis-Laval","13.9","4.4",26810,"8.2","1622.4","10.6","78.3","0","0",115
"258","Lyon","69205","Saint-Genis-les-Ollières","13","4.4",30290,"6.6","1432.43","8.2","37.9","0","0",115
"259","Lyon","69207","Saint-Germain-au-Mont-d'Or","12.6","4.3",27110,"6.4","551.48","9.8","57.8","0","0",115
"260","Lyon","69233","Saint-Romain-au-Mont-d'Or","13.6","5.2",35130,"7.2","476.15","9.1","26.2","0","0",115
"261","Lyon","69244","Tassin-la-Demi-Lune","15","4.9",29010,"8.2","2907.18","13.5","55.5","0","0",115
"262","Lyon","69250","La Tour-de-Salvagny","14.2","7.4",33530,"5.9","508.57","11.5","22.7","0","0",115
"263","Lyon","69256","Vaulx-en-Velin","14","7.2",17180,"10.4","2482.81","10.9","225.7","0","0",115
"264","Lyon","69259","Vénissieux","13.6","8",17140,"9.9","4337.45","11","233.1","0","0",115
"265","Lyon","69260","Vernaison","13.3","5.6",27760,"6.6","1285","9.5","100.2","0","0",115
"266","Lyon","69266","Villeurbanne","14.5","8.1",21540,"16.8","10822.62","20.9","126.1","0","0",115
"267","Lyon","69271","Chassieu","15","3.1",28750,"8.3","956.21","8.6","55.5","0","0",115
"268","Lyon","69273","Corbas","13.7","3.9",25250,"8.7","918.66","8","48.3","0","0",115
"269","Lyon","69275","Décines-Charpieu","14","5.4",22050,"8.6","1748.88","12.6","120.9","0","0",115
"270","Lyon","69276","Feyzin","12.7","6.4",22210,"8.3","1026.04","12.5","159.6","0","0",115
"271","Lyon","69278","Genay","13.1","5",26920,"6.6","649.41","10.5","54.7","0","0",115
"272","Lyon","69279","Jonage","13.4","2.8",28030,"7.9","509.09","9.5","24.4","0","0",115
"273","Lyon","69282","Meyzieu","13.9","4.3",23860,"8","1560.09","10.9","77.4","0","0",115
"274","Lyon","69283","Mions","14.6","2.8",26070,"7.2","1181.64","8","61.6","0","0",115
"275","Lyon","69284","Montanay","14.2","3.9",33600,"6.8","451.25","9.2","9.6","0","0",115
"276","Lyon","69286","Rillieux-la-Pape","13.8","6.9",19980,"8.3","2154.97","8.4","164.6","0","0",115
"277","Lyon","69290","Saint-Priest","13.9","7.6",21420,"8.5","1643.84","11.1","115.6","0","0",115
"278","Lyon","69292","Sathonay-Camp","14.2","5.9",24460,"8.5","3429","19.9","59.7","0","0",115
"279","Lyon","69293","Sathonay-Village","13.7","3.5",33220,"7","465.96","8.9","13.3","0","0",115
"280","Lyon","69296","Solaize","14.7","5.6",29430,"6","380.49","7.9","18.7","0","0",115
"281","Lyon","69089","Francheville","13.9","5.2",28120,"7.6","1854.15","10.1","59.6","0","0",115
"282","Lyon","69123","Lyon","15.6","8.6",25430,"16.1","10902.92","20","0","1","0",115
"283","Marseille","13001","Aix-en-Provence","17.6","8.9",25810,"15.7","792.47","20.7","60","0","0",185
"284","Marseille","13002","Allauch","15.7","6.5",27620,"6.2","427.24","9.3","38.4","0","0",185
"285","Marseille","13003","Alleins","12.2","5.6",26040,"5.1","164.52","10.7","14.5","0","0",185
"286","Marseille","13005","Aubagne","14.7","7.1",22550,"7.7","862.33","11.4","96.9","0","0",185
"287","Marseille","13007","Auriol","14.3","6.5",26260,"7.2","287.87","12.1","40.1","0","0",185
"288","Marseille","13008","Aurons","14.2","4.4",30160,"4.1","44.06","8.8","15.3","0","0",185
"289","Marseille","13009","La Barben","15.6","5.3",30140,"6.4","37.12","11.2","25.6","0","0",185
"290","Marseille","13012","Beaurecueil","18.1","3.2",37890,"4.8","61.31","11","16.2","0","0",185
"291","Marseille","13013","Belcodène","15.1","5.5",29980,"5","149.85","9.6","16.6","0","0",185
"292","Marseille","13014","Berre-l'Étang","14","6",20370,"7.8","319.08","10.7","97.9","0","0",185
"293","Marseille","13015","Bouc-Bel-Air","17.4","4.3",30840,"5.6","699.45","9.9","31.3","0","0",185
"294","Marseille","13016","La Bouilladisse","14.7","6.7",27220,"6.1","503.25","7.6","37.4","0","0",185
"295","Marseille","13019","Cabriès","17.5","4.5",32780,"6.4","275.89","9.2","26.1","0","0",185
"296","Marseille","13020","Cadolive","15","7.4",26530,"5.4","524.29","9.1","14.5","0","0",185
"297","Marseille","13021","Carry-le-Rouet","18.8","10.8",32780,"4.2","565.15","9.5","37.1","0","0",185
"298","Marseille","13022","Cassis","17.9","6.5",28740,"4.6","249.81","9.9","38.9","0","0",185
"299","Marseille","13023","Ceyreste","15.6","7.6",28010,"5.2","212.96","10.1","33.4","0","0",185
"300","Marseille","13024","Charleval","12.8","7.6",23340,"5.5","182.5","12","52.4","0","0",185
"301","Marseille","13025","Châteauneuf-le-Rouge","16.9","6",31590,"5.4","178.56","8.2","14","0","0",185
"302","Marseille","13026","Châteauneuf-les-Martigues","15.4","3.8",23570,"6.3","566.74","11.1","99.9","0","0",185
"303","Marseille","13028","La Ciotat","16.6","3.5",23580,"6.2","1174.19","10.5","90","0","0",185
"304","Marseille","13029","Cornillon-Confoux","12.6","5.6",29130,"4.2","105.44","7","26.5","0","0",185
"305","Marseille","13030","Cuges-les-Pins","12.6","5.5",25090,"7","145.93","13.5","59.3","0","0",185
"306","Marseille","13031","La Destrousse","15.7","3.8",26120,"5.8","1349.31","10.9","39.8","0","0",185
"307","Marseille","13032","Éguilles","15.7","5.2",32090,"5.1","241.06","11.1","32.6","0","0",185
"308","Marseille","13033","Ensuès-la-Redonne","17.3","4.8",29210,"5.1","223.57","9.1","36","0","0",185
"309","Marseille","13035","Eyguières","13.2","6.2",25680,"5.3","100.1","11.6","51.9","0","0",185
"310","Marseille","13037","La Fare-les-Oliviers","15","5.2",26620,"6","633.36","14.4","32.8","0","0",185
"311","Marseille","13039","Fos-sur-Mer","14.5","4.7",23680,"7.5","167.59","8.6","75.5","0","0",185
"312","Marseille","13040","Fuveau","15.5","5.8",28140,"5.5","337.17","10.7","32.3","0","0",185
"313","Marseille","13041","Gardanne","15.2","5.6",22780,"8.4","784.22","14.5","90","0","0",185
"314","Marseille","13042","Gémenos","16.5","6.9",28710,"5.4","207.13","10.7","35.1","0","0",185
"315","Marseille","13043","Gignac-la-Nerthe","15.9","3.8",24490,"6.5","1172.44","16.7","78.7","0","0",185
"316","Marseille","13044","Grans","13.6","6.3",26790,"5.5","191.09","11.3","38.9","0","0",185
"317","Marseille","13046","Gréasque","16","5.1",26900,"5.4","708.39","11.1","35.9","0","0",185
"318","Marseille","13047","Istres","14.1","3.9",22710,"7.6","392.06","11.8","97.5","0","0",185
"319","Marseille","13048","Jouques","13.1","7.7",25220,"5.6","54.84","10.5","49.5","0","0",185
"320","Marseille","13049","Lamanon","13.8","9.1",26340,"4.6","106.56","10.7","29.4","0","0",185
"321","Marseille","13050","Lambesc","13.8","5.2",26100,"5.5","153","15.4","43.1","0","0",185
"322","Marseille","13051","Lançon-Provence","13.5","4.6",26720,"6","135.56","11.1","52.5","0","0",185
"323","Marseille","13053","Mallemort","13.4","6.7",24230,"6.4","218.87","13.7","59.6","0","0",185
"324","Marseille","13054","Marignane","14.6","7.1",21690,"7.2","1422.54","9.5","123.1","0","0",185
"325","Marseille","13055","Marseille","14.9","8",20600,"9.6","3628.74","13.4","0","1","0",185
"326","Marseille","13056","Martigues","14.8","6.5",22570,"6.8","680.22","11.4","143.4","0","0",185
"327","Marseille","13059","Meyrargues","14.2","7.7",25340,"6.7","91.85","12.3","53.9","0","0",185
"328","Marseille","13060","Meyreuil","17.2","4.1",27130,"6.9","295.27","11.1","28.1","0","0",185
"329","Marseille","13062","Mimet","15.4","3.5",29340,"4.9","223.9","6.7","20.1","0","0",185
"330","Marseille","13063","Miramas","13.3","6",19810,"7","1027.43","10.6","127.4","0","0",185
"331","Marseille","13069","Pélissanne","14.1","5.7",27170,"5.6","552.57","10.2","34.5","0","0",185
"332","Marseille","13070","La Penne-sur-Huveaune","15.1","4.4",24300,"7.2","1824.72","12.1","74.4","0","0",185
"333","Marseille","13071","Les Pennes-Mirabeau","16.1","6.2",26320,"6.7","657.6","9.9","47.7","0","0",185
"334","Marseille","13072","Peynier","14.6","8.9",29250,"5.8","147.18","11.1","20.1","0","0",185
"335","Marseille","13073","Peypin","15","4",27300,"5","422.03","7.8","27.2","0","0",185
"336","Marseille","13074","Peyrolles-en-Provence","13.6","7.1",23830,"6.8","149.66","10.4","54.6","0","0",185
"337","Marseille","13075","Plan-de-Cuques","16.8","3.9",26120,"6.6","1340.71","8","43.8","0","0",185
"338","Marseille","13077","Port-de-Bouc","13.5","10.8",20030,"6.9","1403.13","10","385.9","0","0",185
"339","Marseille","13078","Port-Saint-Louis-du-Rhône","12.4","9.7",20700,"6.8","115.07","10.2","125.8","0","0",185
"340","Marseille","13079","Puyloubier","12.5","7.3",28700,"7","43.59","10.9","40.6","0","0",185
"341","Marseille","13080","Le Puy-Sainte-Réparade","14.5","8.9",26760,"5.5","125.92","13.8","63.1","0","0",185
"342","Marseille","13081","Rognac","14.6","4.1",24630,"6.4","695.71","7.8","42.9","0","0",185
"343","Marseille","13082","Rognes","14.2","10.2",28820,"4.8","78.66","8.6","35.1","0","0",185
"344","Marseille","13084","La Roque-d'Anthéron","13.6","8.2",22940,"6.4","210.86","10.6","82.8","0","0",185
"345","Marseille","13085","Roquefort-la-Bédoule","16.1","6.3",27130,"4.7","188.46","9.9","42.9","0","0",185
"346","Marseille","13086","Roquevaire","14.5","10",26260,"6.2","364.41","10.2","54.1","0","0",185
"347","Marseille","13087","Rousset","15.4","6.9",25650,"7","267.13","11.7","44.5","0","0",185
"348","Marseille","13088","Le Rove","16.7","5.1",25810,"5.2","225.83","8","60.4","0","0",185
"349","Marseille","13090","Saint-Antonin-sur-Bayon","18.1","13.1",34270,"3.2","7.1","12.5","0","0","0",185
"350","Marseille","13091","Saint-Cannat","15","7.7",28080,"5.3","154.88","11.3","35.6","0","0",185
"351","Marseille","13092","Saint-Chamas","13.2","5.3",24610,"5.9","323.71","13.8","47.9","0","0",185
"352","Marseille","13093","Saint-Estève-Janson","15","5.6",28260,"4.6","42.76","8.4","20","0","0",185
"353","Marseille","13095","Saint-Marc-Jaumegarde","18.1","8.9",37290,"3.9","55.18","9.1","22.3","0","0",185
"354","Marseille","13098","Saint-Mitre-les-Remparts","13.9","8.2",26910,"5.2","276.95","8.2","55.7","0","0",185
"355","Marseille","13099","Saint-Paul-lès-Durance","15.5","6.2",23350,"7","19.37","12.6","61","0","0",185
"356","Marseille","13101","Saint-Savournin","15.2","6.9",27300,"5.7","593.39","11.2","18.1","0","0",185
"357","Marseille","13102","Saint-Victoret","15.9","5.3",22680,"7.3","1414.47","6.1","71.9","0","0",185
"358","Marseille","13103","Salon-de-Provence","13.5","10.7",22400,"7.9","636.29","13.8","90.7","0","0",185
"359","Marseille","13104","Sausset-les-Pins","19.1","4.1",28750,"4.3","625.04","8.1","30.1","0","0",185
"360","Marseille","13105","Sénas","12.6","6.9",22230,"5.7","223.46","11.1","85.9","0","0",185
"361","Marseille","13106","Septèmes-les-Vallons","15.2","5.5",22740,"7","659.21","8.4","108.2","0","0",185
"362","Marseille","13107","Simiane-Collongue","15.4","5",28770,"6.1","196.28","11.7","27.2","0","0",185
"363","Marseille","13109","Le Tholonet","18.6","6.6",32930,"6","218.06","13.1","24","0","0",185
"364","Marseille","13110","Trets","13.3","7.1",25260,"6.6","151.89","13.6","54","0","0",185
"365","Marseille","13111","Vauvenargues","15.5","7",28040,"5.2","19.17","8.9","8.4","0","0",185
"366","Marseille","13112","Velaux","15.2","4.4",28760,"6","345.75","9.1","29.8","0","0",185
"367","Marseille","13113","Venelles","17.3","5.3",29240,"5.5","411.02","9.5","25.8","0","0",185
"368","Marseille","13114","Ventabren","17.5","10.7",33710,"4.6","208.52","8.6","15.5","0","0",185
"369","Marseille","13115","Vernègues","13.1","4.7",25530,"6.2","133.52","13.9","28.7","0","0",185
"370","Marseille","13117","Vitrolles","16.1","6.5",22090,"7.4","970.82","9.2","124.6","0","0",185
"371","Marseille","13118","Coudoux","16.1","4.5",29730,"5.7","293.39","8.3","19.7","0","0",185
"372","Marseille","13119","Carnoux-en-Provence","16.2","2.6",26380,"6.1","1927.71","13.6","38.9","0","0",185
"373","Marseille","84089","Pertuis","13.6","8.7",23120,"7.3","302.3","14.4","102.5","0","0",185
"374","Marseille","83120","Saint-Zacharie","13.4","6.4",25990,"5.4","219.67","13.2","48.5","0","0",185
"375","Metz","57017","Amanvillers","10.5","3.8",25870,"6.4","216.43","8.2","32.9","0","0",85
"376","Metz","57031","Ars-Laquenexy","11.2","2.4",30860,"8.5","150.65","8.1","8.1","0","0",85
"377","Metz","57049","Le Ban-Saint-Martin","12","8.1",23500,"8.8","2885.62","16.3","54.8","0","0",85
"378","Metz","57134","Châtel-Saint-Germain","12.2","5.6",27390,"7.6","146.67","17.2","16.5","0","0",85
"379","Metz","57032","Ars-sur-Moselle","11.3","7.7",21290,"8.1","400.95","12.8","92.8","0","0",85
"380","Metz","57142","Chieulles","12.3","5",33320,"5.3","161.15","4.2","18.4","0","0",85
"381","Metz","57146","Coin-lès-Cuvry","12","4.7",29150,"6.9","121.04","4.6","29.4","0","0",85
"382","Metz","57147","Coin-sur-Seille","9.4","2.8",29650,"5.7","100.91","9","0","0","0",85
"383","Metz","57140","Chesny","11.4","2.7",28610,"5","131.4","6","26.6","0","0",85
"384","Metz","57212","Féy","12","4.1",30250,"5.4","128.95","5.4","11.1","0","0",85
"385","Metz","57256","Gravelotte","10.5","3.4",25100,"6.8","142.11","10.2","35.8","0","0",85
"386","Metz","57351","Jury","11.2","4.2",27620,"8.8","418.12","12.4","10.9","0","0",85
"387","Metz","57352","Jussy","12.2","7.8",35040,"5.1","155.86","9.1","0","0","0",85
"388","Metz","57385","Laquenexy","11.2","3.6",27660,"6","139.34","8.4","18.8","0","0",85
"389","Metz","57039","Augny","12.2","3.1",28100,"6.4","142.4","9.6","36.5","0","0",85
"390","Metz","57412","Longeville-lès-Metz","11.6","9.2",25800,"9.5","1466.67","15.4","49.5","0","0",85
"391","Metz","57415","Lorry-lès-Metz","12","3.9",31000,"5.1","283.77","5.7","19.9","0","0",85
"392","Metz","57416","Lorry-Mardigny","9.8","5.6",25360,"5.2","58.86","11","11.6","0","0",85
"393","Metz","57445","Marieulles","9.4","5.7",28890,"6.3","85.37","4.9","0","0","0",85
"394","Metz","57447","Marly","13.5","2.6",27920,"6.4","923.24","7.4","35.7","0","0",85
"395","Metz","57452","La Maxe","12.3","6",28690,"6.4","137.76","12.6","22","0","0",85
"396","Metz","57454","Mécleuves","11.2","2.5",29310,"6.3","93.49","5.6","13.2","0","0",85
"397","Metz","57463","Metz","12.6","11.3",20940,"13.9","2884.82","18.8","124.8","1","0",85
"398","Metz","57467","Mey","12.6","4.4",26360,"7.1","162.63","18.3","25.6","0","0",85
"399","Metz","57480","Montigny-lès-Metz","11.5","7.8",21930,"8.3","3261.79","11.5","104.5","0","0",85
"400","Metz","57487","Moulins-lès-Metz","13.1","7.8",24460,"6.6","726.86","10.1","72.1","0","0",85
"401","Metz","57510","Noisseville","11.2","8",28370,"5.7","421.92","12.5","45.9","0","0",85
"402","Metz","57512","Nouilly","11.8","4.6",28670,"5.3","300","8.8","33.1","0","0",85
"403","Metz","57534","Peltre","12.6","6.3",29680,"8.1","216.79","8.9","23.3","0","0",85
"404","Metz","57545","Plappeville","11.6","5.4",31940,"6.3","811.2","7.1","45.2","0","0",85
"405","Metz","57552","Pouilly","9.4","7.6",27220,"5.4","162.16","14.3","20.8","0","0",85
"406","Metz","57553","Pournoy-la-Chétive","9.4","0.4",27920,"5.5","238.08","6.7","56","0","0",85
"407","Metz","57593","Roncourt","11.2","6.4",23780,"4.8","155.07","5.6","31.9","0","0",85
"408","Metz","57601","Rozérieulles","12.2","4.4",28650,"5.4","200.91","6.9","18.2","0","0",85
"409","Metz","57616","Saint-Julien-lès-Metz","12.6","7",28780,"7.1","763.91","10.6","43.6","0","0",85
"410","Metz","57622","Saint-Privat-la-Montagne","11.1","5.5",24440,"7.5","325","8.4","38.1","0","0",85
"411","Metz","57624","Sainte-Ruffine","12.2","4.1",29700,"5.4","840","7","43.7","0","0",85
"412","Metz","57634","Saulny","11.6","4",31870,"6.5","159.08","7","20","0","0",85
"413","Metz","57642","Scy-Chazelles","12.6","8.3",28380,"6.1","591.56","10","38.5","0","0",85
"414","Metz","57693","Vantoux","12.7","3.4",30980,"5.8","325.2","9.6","11.9","0","0",85
"415","Metz","57694","Vany","11.8","4.4",31890,"4.9","150","7.2","17.4","0","0",85
"416","Metz","57701","Vaux","12.2","5.2",32590,"5.7","122.73","6.9","30.5","0","0",85
"417","Metz","57707","Vernéville","10.5","3.9",24960,"4.6","73.15","6","11.7","0","0",85
"418","Metz","57751","Woippy","12.2","8.3",17410,"7.2","979.59","9.5","199.7","0","0",85
"419","Metz","57162","Cuvry","9.4","4.2",29170,"6.3","182.78","10.6","8.6","0","0",85
"420","Metz","57396","Lessy","11.6","8.6",31470,"5.7","265.86","7","11.2","0","0",85
"421","Montpellier","34027","Beaulieu","12.2","5.5",27020,"5.8","287.4","22.3","17.9","0","0",205
"422","Montpellier","34058","Castries","13.8","4.7",26010,"6.5","271.79","16.2","41.9","0","0",205
"423","Montpellier","34022","Baillargues","13.6","5.4",25640,"7.6","1004.55","15.5","41.1","0","0",205
"424","Montpellier","34087","Cournonsec","13.5","4.4",24160,"5.5","293.39","8.4","55.2","0","0",205
"425","Montpellier","34057","Castelnau-le-Lez","15.3","5.3",25160,"10.5","2222.14","18.2","55.7","0","0",205
"426","Montpellier","34090","Le Crès","15","4.8",25900,"6.1","1602.59","10.3","48.8","0","0",205
"427","Montpellier","34077","Clapiers","15.5","3.3",28000,"7","754.68","13.5","50.4","0","0",205
"428","Montpellier","34116","Grabels","14","6.9",24100,"9","553.89","18.1","71.7","0","0",205
"429","Montpellier","34120","Jacou","15.1","3.7",26300,"6.8","2006.76","13.3","42","0","0",205
"430","Montpellier","34123","Juvignac","14.3","6.4",23130,"9.5","1183.61","14.9","76.4","0","0",205
"431","Montpellier","34095","Fabrègues","13.9","5.6",24410,"6.3","228.48","11.5","51.3","0","0",205
"432","Montpellier","34134","Lavérune","13.9","4",25360,"7","460","11.5","60.7","0","0",205
"433","Montpellier","34164","Montaud","11.9","6.4",26620,"6.3","80.08","7.5","31.4","0","0",205
"434","Montpellier","34169","Montferrier-sur-Lez","15.3","5.2",33630,"6.1","526.49","13.4","21.7","0","0",205
"435","Montpellier","34172","Montpellier","14.4","7.3",19670,"19","5315.54","22.6","121.4","1","0",205
"436","Montpellier","34179","Murviel-lès-Montpellier","13.7","4.4",25830,"6.4","191.09","14","28.3","0","0",205
"437","Montpellier","34198","Pérols","15.1","6.3",26950,"7.9","1593.5","14.2","52.5","0","0",205
"438","Montpellier","34088","Cournonterral","11.8","10.4",22850,"7.4","232.66","19.3","100.1","0","0",205
"439","Montpellier","34217","Prades-le-Lez","14.1","4.6",26410,"6.5","686.18","12.4","33.9","0","0",205
"440","Montpellier","34227","Restinclières","12.9","3.6",26280,"5.8","354.15","19.1","23.4","0","0",205
"441","Montpellier","34244","Saint-Brès","13.6","5.5",24650,"7.3","689.39","10.9","60.5","0","0",205
"442","Montpellier","34249","Saint-Drézéry","12.9","4.9",27330,"6.8","274.48","15","24.7","0","0",205
"443","Montpellier","34256","Saint-Geniès-des-Mourgues","13.3","8.4",27690,"4.9","182.19","9.1","11.7","0","0",205
"444","Montpellier","34129","Lattes","15.7","3.8",26460,"6","631.08","13","42.8","0","0",205
"445","Montpellier","34270","Saint-Jean-de-Védas","15.1","4.7",25510,"7.9","974.42","15.4","56.8","0","0",205
"446","Montpellier","34295","Saussan","13.9","1.9",26260,"5.7","495.28","14.1","31.8","0","0",205
"447","Montpellier","34307","Sussargues","13.5","3.9",28460,"5.1","434.46","13.4","26.1","0","0",205
"448","Montpellier","34327","Vendargues","14.7","6",25340,"7.2","782.67","12.5","43.4","0","0",205
"449","Montpellier","34337","Villeneuve-lès-Maguelone","13.8","4.4",24010,"8.9","458.37","9.4","62.6","0","0",205
"450","Montpellier","34202","Pignan","14","6.7",24090,"6.5","404.98","10.1","76.1","0","0",205
"451","Montpellier","34259","Saint-Georges-d'Orques","13.6","9.9",25520,"6.7","602.15","12.1","61.5","0","0",205
"452","Nancy","54165","Dommartemont","11.1","4.2",39430,"4.7","438.46","6.2","16.9","0","0",90
"453","Nancy","54197","Fléville-devant-Nancy","11.8","2.7",28000,"5.4","297.57","4.9","20.7","0","0",90
"454","Nancy","54025","Art-sur-Meurthe","13.1","11.2",26470,"11.3","144.35","10.6","35.4","0","0",90
"455","Nancy","54265","Houdemont","11.8","3.6",28880,"7.5","576.67","5.9","28.3","0","0",90
"456","Nancy","54184","Essey-lès-Nancy","11.8","6.9",22890,"8.4","1514.14","15.2","116.6","0","0",90
"457","Nancy","54300","Laneuveville-devant-Nancy","11.1","8.2",23200,"8.2","524.08","10.9","115","0","0",90
"458","Nancy","54304","Laxou","11.4","8.2",23780,"12.3","922.7","13.9","137.1","0","0",90
"459","Nancy","54328","Ludres","11.6","3.4",27240,"6.3","741.59","8.3","24.5","0","0",90
"460","Nancy","54274","Jarville-la-Malgrange","11.2","9",19320,"10.4","3905.83","14.2","217.9","0","0",90
"461","Nancy","54357","Maxéville","11.1","11.1",17530,"11.4","1771.61","17.5","224.7","0","0",90
"462","Nancy","54395","Nancy","11.7","11.7",22360,"24.1","6950.67","25.5","129.1","1","0",90
"463","Nancy","54439","Pulnoy","11.9","3.6",24590,"5.6","1390.27","10","52.7","0","0",90
"464","Nancy","54482","Saint-Max","11.8","7.1",22560,"8.5","5301.58","14.1","114.8","0","0",90
"465","Nancy","54495","Saulxures-lès-Nancy","9.9","4.2",25490,"5.6","612.14","8.1","66.5","0","0",90
"466","Nancy","54498","Seichamps","9.9","3.8",24570,"6.3","1195.58","7.2","52.3","0","0",90
"467","Nancy","54257","Heillecourt","12.3","2.5",27340,"6.7","1493.61","6.8","34.9","0","0",90
"468","Nancy","54547","Vandœuvre-lès-Nancy","11.6","8.8",18680,"23.2","3109.16","21.9","140.3","0","0",90
"469","Nancy","54578","Villers-lès-Nancy","12","7.4",26760,"12","1491.01","11.3","56.5","0","0",90
"470","Nancy","54526","Tomblaine","12.1","5.8",21630,"8.1","1610.54","11.9","94.6","0","0",90
"471","Nancy","54339","Malzéville","10.7","7",23270,"7.6","1056.93","9.8","100.7","0","0",90
"472","Nantes","44009","Basse-Goulaine","12.8","3.1",29050,"7.3","697.45","8.3","26.4","0","0",123
"473","Nantes","44020","Bouguenais","12.8","3.1",23740,"7","647.94","10.6","168.1","0","0",123
"474","Nantes","44024","Brains","11.5","4.1",26040,"6.2","183.73","6.6","10.9","0","0",123
"475","Nantes","44026","Carquefou","13.2","4.8",27830,"12","472.58","13.4","29.1","0","0",123
"476","Nantes","44047","Couëron","12.5","3.6",24290,"7.7","524.02","10.8","53.9","0","0",123
"477","Nantes","44074","Indre","12.2","5",24380,"6.8","878.72","12.6","70.2","0","0",123
"478","Nantes","44094","Mauves-sur-Loire","11.7","5.1",25880,"6.5","223.78","10.6","16.8","0","0",123
"479","Nantes","44035","La Chapelle-sur-Erdre","13.2","2.7",28210,"6.9","608.71","11.5","43.5","0","0",123
"480","Nantes","44109","Nantes","14","6.2",24170,"15.6","4957.12","22.1","100.7","1","0",123
"481","Nantes","44114","Orvault","12.2","4.5",27140,"8.1","1006.21","11.7","71.3","0","0",123
"482","Nantes","44120","Le Pellerin","12.2","8.1",23370,"6.7","175.1","13.9","36.2","0","0",123
"483","Nantes","44143","Rezé","12.8","5.6",23550,"8.7","3115.8","14.3","119.3","0","0",123
"484","Nantes","44150","Saint-Aignan-Grandlieu","11.9","3.8",25410,"5.9","222.68","6","24.6","0","0",123
