Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
193,Lille,59477,Provin,11.4,6.0,22130.0,8.1,1314.41,11.2,60.2,0,0,60,30.27,31.49
194,Lille,59482,Quesnoy-sur-Deûle,12.5,4.5,25610.0,7.9,480.56,9.6,81.5,0,0,60,13.13,24.14
195,Lille,59487,Radinghem-en-Weppes,13.9,4.6,31950.0,5.7,204.85,6.4,17.9,0,0,60,15.5,20.04
196,Lille,59507,Ronchin,13.4,4.4,22130.0,9.4,3599.44,11.7,133.9,0,0,60,4.64,10.2
197,Lille,59508,Roncq,13.1,3.3,25280.0,8.0,1300.38,10.0,50.9,0,0,60,15.92,18.51
198,Lille,59512,Roubaix,12.5,9.9,14580.0,11.7,7491.82,14.1,380.9,0,0,60,13.26,21.27
199,Lille,59522,Sailly-lez-Lannoy,13.3,3.2,29860.0,7.0,442.95,18.0,29.0,0,0,60,14.87,23.29
200,Lille,59523,Sainghin-en-Mélantois,13.6,5.9,31510.0,5.4,271.24,9.0,39.1,0,0,60,16.5,21.68
201,Lille,59524,Sainghin-en-Weppes,12.2,6.4,24770.0,7.4,732.6,9.3,30.0,0,0,60,17.77,18.49
202,Lille,59527,Saint-André-lez-Lille,14.4,3.8,24610.0,8.1,4044.38,12.9,73.8,0,0,60,4.3,8.62
203,Lille,59550,Salomé,12.6,6.8,22610.0,6.4,586.73,10.9,59.3,0,0,60,,
204,Lille,59553,Santes,13.1,2.9,26460.0,7.4,744.74,9.3,25.8,0,0,60,14.61,24.36
205,Lille,59560,Seclin,13,5.1,22460.0,8.0,737.59,10.0,127.3,0,0,60,16.4,19.93
206,Lille,59566,Sequedin,13.1,5.5,25180.0,10.7,1221.03,14.7,25.6,0,0,60,10.82,16.41
207,Lille,59585,Templemars,12.9,4.6,26250.0,7.3,790.22,11.5,61.0,0,0,60,11.63,17.45
208,Lille,59598,Toufflers,13,5.1,25270.0,7.1,1629.17,7.3,29.2,0,0,60,16.67,23.68
209,Lille,59599,Tourcoing,12.4,9.0,18300.0,9.7,6513.88,12.8,210.7,0,0,60,14.66,20.88
210,Lille,59602,Tressin,13.5,3.5,29900.0,7.6,734.21,8.6,17.5,0,0,60,13.48,21.76
211,Lille,59609,Vendeville,13.5,5.0,29430.0,6.7,594.62,9.9,38.0,0,0,60,9.51,13.21
212,Lille,59611,Verlinghem,13.6,3.6,30870.0,7.3,264.65,9.2,20.5,0,0,60,8.05,15.35
213,Lille,59636,Wambrechies,13.8,5.1,26900.0,6.2,696.65,9.2,42.8,0,0,60,7.13,14.56
214,Lille,59643,Warneton,12.2,3.9,23690.0,3.8,55.71,4.2,0.0,0,0,60,18.46,30.23
215,Lille,59646,Wasquehal,14.3,5.5,25910.0,7.9,3019.71,12.7,59.9,0,0,60,7.9,15.46
216,Lille,59648,Wattignies,13.3,4.9,21990.0,10.1,2465.24,11.7,130.7,0,0,60,6.48,12.93
217,Lille,59650,Wattrelos,12.8,3.3,19450.0,8.4,3047.46,8.2,155.7,0,0,60,16.66,24.0
218,Lille,59653,Wavrin,12.2,4.8,23980.0,7.3,571.54,8.2,55.7,0,0,60,15.67,19.77
219,Lille,59656,Wervicq-Sud,13.3,3.3,23810.0,7.6,1039.02,10.0,45.4,0,0,60,23.15,30.74
220,Lille,59658,Wicres,12.3,6.4,27320.0,5.7,194.29,9.1,0.0,0,0,60,18.87,20.49
221,Lille,59660,Willems,13,5.0,25680.0,7.8,516.55,8.7,46.5,0,0,60,16.0,24.45
222,Lille,59670,Don,12.1,5.8,24970.0,7.6,613.91,11.1,11.2,0,0,60,,
223,Lille,59332,Lannoy,12.9,7.8,19710.0,9.1,9000.0,15.4,121.1,0,0,60,15.54,22.0
224,Lille,59356,Lompret,13.8,5.5,34540.0,6.6,703.87,6.7,7.6,0,0,60,166.95,112.56
225,Lyon,69003,Albigny-sur-Saône,14,7.9,27080.0,6.6,1150.38,12.8,73.9,0,0,115,19.58,35.59
226,Lyon,69033,Cailloux-sur-Fontaines,13.9,4.8,34010.0,5.8,337.59,9.4,13.3,0,0,115,17.53,33.87
227,Lyon,69040,Champagne-au-Mont-d'Or,14.9,7.3,27100.0,7.2,2283.08,14.1,62.7,0,0,115,10.67,20.02
228,Lyon,69029,Bron,14.7,5.9,21950.0,12.0,4179.51,12.7,104.8,0,0,115,8.71,14.95
229,Lyon,69046,Charly,14,3.8,33860.0,6.4,903.14,10.4,22.1,0,0,115,4015.45,2723.72
230,Lyon,69063,Collonges-au-Mont-d'Or,13.9,7.9,35240.0,5.9,1188.68,11.4,55.3,0,0,115,13.32,26.57
231,Lyon,69068,Couzon-au-Mont-d'Or,12.7,10.2,28290.0,6.4,790.97,11.0,50.1,0,0,115,16.63,30.58
232,Lyon,69044,Charbonnières-les-Bains,13.8,9.6,36390.0,6.6,1295.37,14.4,30.5,0,0,115,11.24,19.63
233,Lyon,69071,Curis-au-Mont-d'Or,13.6,4.2,33160.0,6.4,393.0,10.2,26.4,0,0,115,24.11,37.41
234,Lyon,69072,Dardilly,15.7,7.3,32510.0,8.3,630.57,11.7,43.5,0,0,115,12.96,21.36
235,Lyon,69081,Écully,15,8.3,29600.0,13.5,2185.83,13.3,52.5,0,0,115,9.86,18.01
236,Lyon,69085,Fleurieu-sur-Saône,13.5,4.7,31110.0,7.7,517.59,11.6,15.0,0,0,115,18.67,33.35
237,Lyon,69087,Fontaines-Saint-Martin,13.7,6.5,34190.0,6.2,1127.04,5.6,58.8,0,0,115,16.6,31.07
238,Lyon,69088,Fontaines-sur-Saône,12.1,5.9,25230.0,6.5,3063.91,11.3,71.2,0,0,115,13.37,26.83
239,Lyon,69034,Caluire-et-Cuire,14.6,7.2,27370.0,7.1,4189.62,12.3,66.3,0,0,115,9.72,20.04
240,Lyon,69091,Givors,11,8.3,18160.0,7.8,1193.87,10.6,206.7,0,0,115,20.68,24.38
241,Lyon,69096,Grigny,11.8,5.7,21900.0,8.3,1698.45,10.5,81.5,0,0,115,437.16,249.89
242,Lyon,69100,Irigny,13.3,5.5,25740.0,7.0,1007.61,9.2,71.0,0,0,115,9.98,17.14
243,Lyon,69116,Limonest,15.6,11.0,34510.0,8.6,456.9,16.5,29.7,0,0,115,14.77,23.42
244,Lyon,69117,Lissieu,13.6,5.1,33180.0,6.6,559.3,11.7,25.7,0,0,115,18.96,31.21
245,Lyon,69069,Craponne,13.9,5.6,27380.0,6.9,2587.61,10.7,42.4,0,0,115,13.19,23.08
246,Lyon,69127,Marcy-l'Étoile,12.8,4.6,29680.0,9.1,674.81,12.1,25.9,0,0,115,14.49,25.55
247,Lyon,69142,La Mulatière,13.5,11.9,22750.0,7.9,3663.89,11.2,105.2,0,0,115,3.23,9.04
248,Lyon,69143,Neuville-sur-Saône,14,9.3,23150.0,7.4,1403.82,16.4,88.0,0,0,115,21.0,38.62
249,Lyon,69149,Oullins-Pierre-Bénite,N/A - résultat non disponible,7.2,23260.0,10.3,4227.87,13.4,44.4,0,0,115,5.12,13.15
250,Lyon,69153,Poleymieux-au-Mont-d'Or,16.4,5.0,35970.0,15.3,226.29,8.2,5.0,0,0,115,22.0,33.76
251,Lyon,69163,Quincieux,12.3,5.5,26670.0,6.5,200.51,8.8,34.1,0,0,115,26.04,38.28
252,Lyon,69168,Rochetaillée-sur-Saône,12.4,7.2,29240.0,6.0,1186.92,10.6,76.4,0,0,115,16.66,30.97
253,Lyon,69191,Saint-Cyr-au-Mont-d'Or,17.2,9.9,40340.0,5.9,808.22,12.2,54.5,0,0,115,13.32,23.27
254,Lyon,69194,Saint-Didier-au-Mont-d'Or,17.2,4.3,42270.0,6.0,875.3,8.8,27.3,0,0,115,13.0,22.78
255,Lyon,69199,Saint-Fons,13.2,6.0,16880.0,9.0,3173.77,9.9,208.3,0,0,115,4.17,8.65
256,Lyon,69202,Sainte-Foy-lès-Lyon,15.1,5.4,28780.0,6.6,3214.41,9.5,56.5,0,0,115,6.65,14.22
257,Lyon,69204,Saint-Genis-Laval,13.9,4.4,26810.0,8.2,1622.4,10.6,78.3,0,0,115,11.52,17.43
258,Lyon,69205,Saint-Genis-les-Ollières,13,4.4,30290.0,6.6,1432.43,8.2,37.9,0,0,115,12.61,21.63
259,Lyon,69207,Saint-Germain-au-Mont-d'Or,12.6,4.3,27110.0,6.4,551.48,9.8,57.8,0,0,115,25.74,39.27
260,Lyon,69233,Saint-Romain-au-Mont-d'Or,13.6,5.2,35130.0,7.2,476.15,9.1,26.2,0,0,115,16.52,30.25
261,Lyon,69244,Tassin-la-Demi-Lune,15,4.9,29010.0,8.2,2907.18,13.5,55.5,0,0,115,9.99,17.93
262,Lyon,69250,La Tour-de-Salvagny,14.2,7.4,33530.0,5.9,508.57,11.5,22.7,0,0,115,15.56,27.24
263,Lyon,69256,Vaulx-en-Velin,14,7.2,17180.0,10.4,2482.81,10.9,225.7,0,0,115,13.88,22.57
264,Lyon,69259,Vénissieux,13.6,8.0,17140.0,9.9,4337.45,11.0,233.1,0,0,115,6.04,12.37
265,Lyon,69260,Vernaison,13.3,5.6,27760.0,6.6,1285.0,9.5,100.2,0,0,115,112.8,77.56
266,Lyon,69266,Villeurbanne,14.5,8.1,21540.0,16.8,10822.62,20.9,126.1,0,0,115,8.76,22.24
267,Lyon,69271,Chassieu,15,3.1,28750.0,8.3,956.21,8.6,55.5,0,0,115,13.97,22.37
268,Lyon,69273,Corbas,13.7,3.9,25250.0,8.7,918.66,8.0,48.3,0,0,115,12.66,16.53
269,Lyon,69275,Décines-Charpieu,14,5.4,22050.0,8.6,1748.88,12.6,120.9,0,0,115,15.29,24.67
270,Lyon,69276,Feyzin,12.7,6.4,22210.0,8.3,1026.04,12.5,159.6,0,0,115,7.92,12.99
271,Lyon,69278,Genay,13.1,5.0,26920.0,6.6,649.41,10.5,54.7,0,0,115,34.84,37.11
272,Lyon,69279,Jonage,13.4,2.8,28030.0,7.9,509.09,9.5,24.4,0,0,115,27.15,35.73
273,Lyon,69282,Meyzieu,13.9,4.3,23860.0,8.0,1560.09,10.9,77.4,0,0,115,23.85,31.63
274,Lyon,69283,Mions,14.6,2.8,26070.0,7.2,1181.64,8.0,61.6,0,0,115,15.7,21.61
275,Lyon,69284,Montanay,14.2,3.9,33600.0,6.8,451.25,9.2,9.6,0,0,115,3339.77,2280.6
276,Lyon,69286,Rillieux-la-Pape,13.8,6.9,19980.0,8.3,2154.97,8.4,164.6,0,0,115,13.61,26.18
277,Lyon,69290,Saint-Priest,13.9,7.6,21420.0,8.5,1643.84,11.1,115.6,0,0,115,11.46,21.54
278,Lyon,69292,Sathonay-Camp,14.2,5.9,24460.0,8.5,3429.0,19.9,59.7,0,0,115,13.19,27.62
279,Lyon,69293,Sathonay-Village,13.7,3.5,33220.0,7.0,465.96,8.9,13.3,0,0,115,14.91,29.62
280,Lyon,69296,Solaize,14.7,5.6,29430.0,6.0,380.49,7.9,18.7,0,0,115,12.56,17.42
281,Lyon,69089,Francheville,13.9,5.2,28120.0,7.6,1854.15,10.1,59.6,0,0,115,10.78,22.16
282,Lyon,69123,Lyon,15.6,8.6,25430.0,16.1,10902.92,20.0,0.0,1,0,115,,
283,Marseille,13001,Aix-en-Provence,17.6,8.9,25810.0,15.7,792.47,20.7,60.0,0,0,185,32.17,35.81
284,Marseille,13002,Allauch,15.7,6.5,27620.0,6.2,427.24,9.3,38.4,0,0,185,10.38,20.67
285,Marseille,13003,Alleins,12.2,5.6,26040.0,5.1,164.52,10.7,14.5,0,0,185,74.09,60.86
286,Marseille,13005,Aubagne,14.7,7.1,22550.0,7.7,862.33,11.4,96.9,0,0,185,17.81,20.43
287,Marseille,13007,Auriol,14.3,6.5,26260.0,7.2,287.87,12.1,40.1,0,0,185,26.28,24.73
288,Marseille,13008,Aurons,14.2,4.4,30160.0,4.1,44.06,8.8,15.3,0,0,185,61.9,57.79
289,Marseille,13009,La Barben,15.6,5.3,30140.0,6.4,37.12,11.2,25.6,0,0,185,60.39,57.9
290,Marseille,13012,Beaurecueil,18.1,3.2,37890.0,4.8,61.31,11.0,16.2,0,0,185,36.61,38.66
291,Marseille,13013,Belcodène,15.1,5.5,29980.0,5.0,149.85,9.6,16.6,0,0,185,35.41,31.36
292,Marseille,13014,Berre-l'Étang,14,6.0,20370.0,7.8,319.08,10.7,97.9,0,0,185,37.36,38.75
293,Marseille,13015,Bouc-Bel-Air,17.4,4.3,30840.0,5.6,699.45,9.9,31.3,0,0,185,23.65,28.35
294,Marseille,13016,La Bouilladisse,14.7,6.7,27220.0,6.1,503.25,7.6,37.4,0,0,185,28.49,26.84
295,Marseille,13019,Cabriès,17.5,4.5,32780.0,6.4,275.89,9.2,26.1,0,0,185,20.65,26.22
296,Marseille,13020,Cadolive,15,7.4,26530.0,5.4,524.29,9.1,14.5,0,0,185,38.75,35.48
297,Marseille,13021,Carry-le-Rouet,18.8,10.8,32780.0,4.2,565.15,9.5,37.1,0,0,185,35.82,45.6
298,Marseille,13022,Cassis,17.9,6.5,28740.0,4.6,249.81,9.9,38.9,0,0,185,29.28,30.0
299,Marseille,13023,Ceyreste,15.6,7.6,28010.0,5.2,212.96,10.1,33.4,0,0,185,31.96,35.48
300,Marseille,13024,Charleval,12.8,7.6,23340.0,5.5,182.5,12.0,52.4,0,0,185,79.82,66.73
301,Marseille,13025,Châteauneuf-le-Rouge,16.9,6.0,31590.0,5.4,178.56,8.2,14.0,0,0,185,38.53,37.64
302,Marseille,13026,Châteauneuf-les-Martigues,15.4,3.8,23570.0,6.3,566.74,11.1,99.9,0,0,185,29.15,28.64
303,Marseille,13028,La Ciotat,16.6,3.5,23580.0,6.2,1174.19,10.5,90.0,0,0,185,29.98,30.53
304,Marseille,13029,Cornillon-Confoux,12.6,5.6,29130.0,4.2,105.44,7.0,26.5,0,0,185,61.65,55.38
305,Marseille,13030,Cuges-les-Pins,12.6,5.5,25090.0,7.0,145.93,13.5,59.3,0,0,185,27.45,29.0
306,Marseille,13031,La Destrousse,15.7,3.8,26120.0,5.8,1349.31,10.9,39.8,0,0,185,28.37,26.17
307,Marseille,13032,Éguilles,15.7,5.2,32090.0,5.1,241.06,11.1,32.6,0,0,185,38.73,44.22
308,Marseille,13033,Ensuès-la-Redonne,17.3,4.8,29210.0,5.1,223.57,9.1,36.0,0,0,185,31.76,34.84
309,Marseille,13035,Eyguières,13.2,6.2,25680.0,5.3,100.1,11.6,51.9,0,0,185,63.73,61.02
310,Marseille,13037,La Fare-les-Oliviers,15,5.2,26620.0,6.0,633.36,14.4,32.8,0,0,185,41.41,43.67
311,Marseille,13039,Fos-sur-Mer,14.5,4.7,23680.0,7.5,167.59,8.6,75.5,0,0,185,55.26,50.19
312,Marseille,13040,Fuveau,15.5,5.8,28140.0,5.5,337.17,10.7,32.3,0,0,185,37.98,34.33
313,Marseille,13041,Gardanne,15.2,5.6,22780.0,8.4,784.22,14.5,90.0,0,0,185,28.47,31.25
314,Marseille,13042,Gémenos,16.5,6.9,28710.0,5.4,207.13,10.7,35.1,0,0,185,21.91,24.18
315,Marseille,13043,Gignac-la-Nerthe,15.9,3.8,24490.0,6.5,1172.44,16.7,78.7,0,0,185,27.75,33.58
316,Marseille,13044,Grans,13.6,6.3,26790.0,5.5,191.09,11.3,38.9,0,0,185,,
317,Marseille,13046,Gréasque,16,5.1,26900.0,5.4,708.39,11.1,35.9,0,0,185,38.02,33.38
318,Marseille,13047,Istres,14.1,3.9,22710.0,7.6,392.06,11.8,97.5,0,0,185,,
319,Marseille,13048,Jouques,13.1,7.7,25220.0,5.6,54.84,10.5,49.5,0,0,185,63.31,62.36
320,Marseille,13049,Lamanon,13.8,9.1,26340.0,4.6,106.56,10.7,29.4,0,0,185,62.19,58.4
321,Marseille,13050,Lambesc,13.8,5.2,26100.0,5.5,153.0,15.4,43.1,0,0,185,54.28,56.2
322,Marseille,13051,Lançon-Provence,13.5,4.6,26720.0,6.0,135.56,11.1,52.5,0,0,185,44.5,45.7
323,Marseille,13053,Mallemort,13.4,6.7,24230.0,6.4,218.87,13.7,59.6,0,0,185,75.49,62.03
324,Marseille,13054,Marignane,14.6,7.1,21690.0,7.2,1422.54,9.5,123.1,0,0,185,27.73,32.58
325,Marseille,13055,Marseille,14.9,8.0,20600.0,9.6,3628.74,13.4,0.0,1,0,185,,
326,Marseille,13056,Martigues,14.8,6.5,22570.0,6.8,680.22,11.4,143.4,0,0,185,42.48,39.46
327,Marseille,13059,Meyrargues,14.2,7.7,25340.0,6.7,91.85,12.3,53.9,0,0,185,48.62,47.73
328,Marseille,13060,Meyreuil,17.2,4.1,27130.0,6.9,295.27,11.1,28.1,0,0,185,31.8,33.81
329,Marseille,13062,Mimet,15.4,3.5,29340.0,4.9,223.9,6.7,20.1,0,0,185,30.81,35.76
330,Marseille,13063,Miramas,13.3,6.0,19810.0,7.0,1027.43,10.6,127.4,0,0,185,65.86,57.13
331,Marseille,13069,Pélissanne,14.1,5.7,27170.0,5.6,552.57,10.2,34.5,0,0,185,58.12,54.64
332,Marseille,13070,La Penne-sur-Huveaune,15.1,4.4,24300.0,7.2,1824.72,12.1,74.4,0,0,185,12.19,17.37
333,Marseille,13071,Les Pennes-Mirabeau,16.1,6.2,26320.0,6.7,657.6,9.9,47.7,0,0,185,17.42,22.43
334,Marseille,13072,Peynier,14.6,8.9,29250.0,5.8,147.18,11.1,20.1,0,0,185,40.09,34.44
335,Marseille,13073,Peypin,15,4.0,27300.0,5.0,422.03,7.8,27.2,0,0,185,30.34,31.0
336,Marseille,13074,Peyrolles-en-Provence,13.6,7.1,23830.0,6.8,149.66,10.4,54.6,0,0,185,58.11,54.23
337,Marseille,13075,Plan-de-Cuques,16.8,3.9,26120.0,6.6,1340.71,8.0,43.8,0,0,185,9.17,17.32
338,Marseille,13077,Port-de-Bouc,13.5,10.8,20030.0,6.9,1403.13,10.0,385.9,0,0,185,46.0,41.93
339,Marseille,13078,Port-Saint-Louis-du-Rhône,12.4,9.7,20700.0,6.8,115.07,10.2,125.8,0,0,185,72.57,68.37
340,Marseille,13079,Puyloubier,12.5,7.3,28700.0,7.0,43.59,10.9,40.6,0,0,185,49.4,49.52
341,Marseille,13080,Le Puy-Sainte-Réparade,14.5,8.9,26760.0,5.5,125.92,13.8,63.1,0,0,185,55.25,50.9
342,Marseille,13081,Rognac,14.6,4.1,24630.0,6.4,695.71,7.8,42.9,0,0,185,32.79,34.14
343,Marseille,13082,Rognes,14.2,10.2,28820.0,4.8,78.66,8.6,35.1,0,0,185,2860.47,1816.61
344,Marseille,13084,La Roque-d'Anthéron,13.6,8.2,22940.0,6.4,210.86,10.6,82.8,0,0,185,60.48,66.47
345,Marseille,13085,Roquefort-la-Bédoule,16.1,6.3,27130.0,4.7,188.46,9.9,42.9,0,0,185,21.76,21.9
346,Marseille,13086,Roquevaire,14.5,10.0,26260.0,6.2,364.41,10.2,54.1,0,0,185,21.89,25.11
347,Marseille,13087,Rousset,15.4,6.9,25650.0,7.0,267.13,11.7,44.5,0,0,185,173.63,116.23
348,Marseille,13088,Le Rove,16.7,5.1,25810.0,5.2,225.83,8.0,60.4,0,0,185,18.88,32.17
349,Marseille,13090,Saint-Antonin-sur-Bayon,18.1,13.1,34270.0,3.2,7.1,12.5,0.0,0,0,185,46.98,64.09
350,Marseille,13091,Saint-Cannat,15,7.7,28080.0,5.3,154.88,11.3,35.6,0,0,185,48.76,52.64
351,Marseille,13092,Saint-Chamas,13.2,5.3,24610.0,5.9,323.71,13.8,47.9,0,0,185,54.13,56.61
352,Marseille,13093,Saint-Estève-Janson,15,5.6,28260.0,4.6,42.76,8.4,20.0,0,0,185,59.62,55.62
353,Marseille,13095,Saint-Marc-Jaumegarde,18.1,8.9,37290.0,3.9,55.18,9.1,22.3,0,0,185,40.97,50.86
354,Marseille,13098,Saint-Mitre-les-Remparts,13.9,8.2,26910.0,5.2,276.95,8.2,55.7,0,0,185,50.26,49.37
355,Marseille,13099,Saint-Paul-lès-Durance,15.5,6.2,23350.0,7.0,19.37,12.6,61.0,0,0,185,76.19,67.31
356,Marseille,13101,Saint-Savournin,15.2,6.9,27300.0,5.7,593.39,11.2,18.1,0,0,185,40.05,35.13
357,Marseille,13102,Saint-Victoret,15.9,5.3,22680.0,7.3,1414.47,6.1,71.9,0,0,185,26.67,29.91
358,Marseille,13103,Salon-de-Provence,13.5,10.7,22400.0,7.9,636.29,13.8,90.7,0,0,185,54.64,47.66
359,Marseille,13104,Sausset-les-Pins,19.1,4.1,28750.0,4.3,625.04,8.1,30.1,0,0,185,32.99,33.93
360,Marseille,13105,Sénas,12.6,6.9,22230.0,5.7,223.46,11.1,85.9,0,0,185,66.83,53.07
361,Marseille,13106,Septèmes-les-Vallons,15.2,5.5,22740.0,7.0,659.21,8.4,108.2,0,0,185,17.71,22.32
362,Marseille,13107,Simiane-Collongue,15.4,5.0,28770.0,6.1,196.28,11.7,27.2,0,0,185,24.16,26.03
363,Marseille,13109,Le Tholonet,18.6,6.6,32930.0,6.0,218.06,13.1,24.0,0,0,185,36.28,38.41
364,Marseille,13110,Trets,13.3,7.1,25260.0,6.6,151.89,13.6,54.0,0,0,185,44.13,41.92
365,Marseille,13111,Vauvenargues,15.5,7.0,28040.0,5.2,19.17,8.9,8.4,0,0,185,45.42,55.04
366,Marseille,13112,Velaux,15.2,4.4,28760.0,6.0,345.75,9.1,29.8,0,0,185,37.38,41.59
367,Marseille,13113,Venelles,17.3,5.3,29240.0,5.5,411.02,9.5,25.8,0,0,185,42.09,41.06
368,Marseille,13114,Ventabren,17.5,10.7,33710.0,4.6,208.52,8.6,15.5,0,0,185,35.08,43.67
369,Marseille,13115,Vernègues,13.1,4.7,25530.0,6.2,133.52,13.9,28.7,0,0,185,64.67,61.16
370,Marseille,13117,Vitrolles,16.1,6.5,22090.0,7.4,970.82,9.2,124.6,0,0,185,26.62,30.54
371,Marseille,13118,Coudoux,16.1,4.5,29730.0,5.7,293.39,8.3,19.7,0,0,185,41.59,41.93
372,Marseille,13119,Carnoux-en-Provence,16.2,2.6,26380.0,6.1,1927.71,13.6,38.9,0,0,185,20.15,23.69
373,Marseille,84089,Pertuis,13.6,8.7,23120.0,7.3,302.3,14.4,102.5,0,0,185,53.92,52.27
374,Marseille,83120,Saint-Zacharie,13.4,6.4,25990.0,5.4,219.67,13.2,48.5,0,0,185,,
375,Metz,57017,Amanvillers,10.5,3.8,25870.0,6.4,216.43,8.2,32.9,0,0,85,16.53,23.6
376,Metz,57031,Ars-Laquenexy,11.2,2.4,30860.0,8.5,150.65,8.1,8.1,0,0,85,8.45,16.91
377,Metz,57049,Le Ban-Saint-Martin,12,8.1,23500.0,8.8,2885.62,16.3,54.8,0,0,85,4.31,10.97
378,Metz,57134,Châtel-Saint-Germain,12.2,5.6,27390.0,7.6,146.67,17.2,16.5,0,0,85,9.96,17.14
379,Metz,57032,Ars-sur-Moselle,11.3,7.7,21290.0,8.1,400.95,12.8,92.8,0,0,85,10.83,15.5
380,Metz,57142,Chieulles,12.3,5.0,33320.0,5.3,161.15,4.2,18.4,0,0,85,9.84,15.28
381,Metz,57146,Coin-lès-Cuvry,12,4.7,29150.0,6.9,121.04,4.6,29.4,0,0,85,18.11,18.2
382,Metz,57147,Coin-sur-Seille,9.4,2.8,29650.0,5.7,100.91,9.0,0.0,0,0,85,20.27,21.21
383,Metz,57140,Chesny,11.4,2.7,28610.0,5.0,131.4,6.0,26.6,0,0,85,11.53,18.08
384,Metz,57212,Féy,12,4.1,30250.0,5.4,128.95,5.4,11.1,0,0,85,,
385,Metz,57256,Gravelotte,10.5,3.4,25100.0,6.8,142.11,10.2,35.8,0,0,85,7661.77,4687.42
